CASE;QUESTNNR;MODE;STARTED;SA04_01;SA04_02;SA04_03;Attraktivität Mittelwert;SS01_01;SS01_02;SS01_03;SS01_04;SS01_05;SS01_06;SS01_07;SS01_08;SS01_09;SS01_10;WIRKALL-K;GA01_01;GA01_02;GA01_03;GA01_04;GA01_05;GA01_06;GWALL Mittelwert;GP01_01;GP01_02;GP01_03;GP01_04;GP01_05;GP01_06;GP01_07;GWPER Mittelwert;AG01;AG02_01;AG06;AG04;AG03;AG05;TIME001;TIME002;TIME003;TIME004;TIME005;TIME_SUM;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
21;base;interview;01.06.2017 08:25;3;4;3;3,333333333;3;3;2;3;4;3;3;2;3;2;28;4;5;4;3;2;3;3,5;3;2;2;2;2;2;2;2,142857143;1;20;1;1;3;1;32;36;62;107;36;273;01.06.2017 08:29;1;0;5;5;0;0;0,82;1
22;base;interview;01.06.2017 08:40;2;5;5;4;3;3;3;3;3;3;3;3;3;3;30;2;2;3;3;3;3;2,666666667;2;2;3;3;2;2;2;2,285714286;2;23;3;1;6;4;5;20;35;42;22;124;01.06.2017 08:42;1;0;5;5;0;0;2;50
23;base;interview;01.06.2017 10:36;4;3;3;3,333333333;3;3;3;2;3;2;3;2;2;2;25;4;4;4;3;4;4;3,833333333;3;3;3;3;3;3;3;3;2;44;3;2;4;2;14;30;76;98;26;244;01.06.2017 10:40;1;0;5;5;0;0;1;3
24;base;interview;01.06.2017 10:40;4;5;4;4,333333333;3;3;3;3;3;3;3;3;3;2;29;3;3;4;2;3;3;3;3;2;2;2;2;2;2;2,142857143;2;34;3;2;4;3;17;24;78;96;38;253;01.06.2017 10:44;1;0;5;5;0;0;0,93;2
25;base;interview;01.06.2017 11:36;6;6;6;6;3;3;2;3;2;3;3;3;4;4;30;6;5;1;2;3;4;3,5;2;2;2;1;1;3;2;1,857142857;2;24;2;1;4;3;28;33;248;1207;85;272;01.06.2017 12:03;1;0;5;5;0;0;0,39;0
26;base;interview;01.06.2017 11:53;4;4;4;4;4;4;3;3;3;3;3;3;4;4;34;5;4;3;3;2;3;3,333333333;2;2;2;2;2;2;2;2;1;34;3;4;4;5;64;20;70;120;51;275;01.06.2017 11:58;1;0;5;5;0;0;0,79;2
27;base;interview;01.06.2017 12:05;5;5;5;5;3;4;3;3;4;4;4;3;4;3;35;5;4;3;4;4;4;4;3;2;2;2;1;2;2;2;1;47;4;4;4;5;24;29;57;114;43;267;01.06.2017 12:09;1;0;5;5;0;0;0,86;2
28;base;interview;01.06.2017 14:53;6;5;5;5,333333333;3;3;2;2;2;2;2;2;2;2;22;5;4;4;4;4;4;4,166666667;3;3;4;3;3;3;4;3,285714286;2;25;1;1;4;3;7;15;52;200;21;295;01.06.2017 14:58;1;0;5;5;0;0;1,38;24
29;base;interview;01.06.2017 15:39;3;3;3;3;3;3;3;3;3;3;3;2;3;3;29;6;6;6;3;5;6;5,333333333;3;3;3;3;3;3;3;3;2;28;2;1;4;4;5;30;78;78;28;219;01.06.2017 15:43;1;0;5;5;0;0;1,4;23
30;base;interview;01.06.2017 15:52;3;4;4;3,666666667;3;3;3;3;3;4;3;3;3;2;30;4;4;5;3;4;5;4,166666667;4;4;3;4;4;4;4;3,857142857;2;25;1;1;8;2;17;37;73;101;45;273;01.06.2017 15:56;1;0;5;5;0;0;0,84;1
31;base;interview;01.06.2017 16:06;3;3;3;3;3;3;3;3;3;2;3;3;3;3;29;6;5;5;3;4;4;4,5;2;2;3;2;2;2;3;2,285714286;1;20;2;1;2;2;5;82;67;157;26;280;01.06.2017 16:12;1;0;5;5;0;0;1,19;20
32;base;interview;01.06.2017 16:09;6;6;5;5,666666667;2;3;3;3;3;3;3;3;3;2;28;6;5;2;4;3;5;4,166666667;4;3;3;2;2;2;3;2,714285714;1;23;1;1;2;2;10;17;47;93;19;186;01.06.2017 16:12;1;0;5;5;0;0;1,41;21
33;base;interview;01.06.2017 17:44;3;4;4;3,666666667;3;3;2;2;2;2;3;2;2;2;23;5;5;3;3;5;4;4,166666667;2;3;2;2;2;2;3;2,285714286;1;30;2;1;4;4;14;27;63;110;36;250;01.06.2017 17:48;1;0;5;5;0;0;0,97;1
34;base;interview;01.06.2017 17:54;1;1;1;1;3;3;2;3;2;3;3;3;3;3;28;4;4;4;4;3;3;3,666666667;2;2;2;2;2;2;2;2;2;57;3;2;4;5;37;36;115;161;57;406;01.06.2017 18:00;1;0;5;5;0;0;0,57;0
35;base;interview;01.06.2017 18:19;5;5;5;5;3;3;4;3;3;3;4;4;3;4;34;3;2;3;4;3;3;3;2;2;2;2;3;2;2;2,142857143;1;21;1;1;2;2;8;25;57;88;31;209;01.06.2017 18:22;1;0;5;5;0;0;1,23;12
36;base;interview;01.06.2017 19:48;3;4;2;3;3;3;2;2;3;2;3;2;2;2;24;5;5;2;4;2;4;3,666666667;3;3;3;2;5;3;5;3,428571429;2;25;1;1;4;2;17;28;53;112;32;242;01.06.2017 19:52;1;0;5;5;0;0;0,98;3
37;base;interview;01.06.2017 20:12;7;5;4;5,333333333;3;4;4;4;4;4;4;3;3;4;37;3;4;5;4;3;3;3,666666667;3;2;2;1;2;2;2;2;1;18;1;1;2;2;4;23;44;58;15;144;01.06.2017 20:15;1;0;5;5;0;0;1,9;50
38;base;interview;01.06.2017 21:13;5;5;4;4,666666667;3;4;3;2;3;2;3;3;3;3;29;4;5;3;1;6;2;3,5;3;2;2;1;2;1;1;1,714285714;2;19;2;1;2;4;2;21;50;84;48;205;01.06.2017 21:17;1;0;5;5;0;0;1,5;69
39;base;interview;01.06.2017 21:14;3;3;3;3;3;3;3;2;2;3;3;3;3;3;28;4;4;4;3;3;4;3,666666667;3;3;3;3;3;3;3;3;2;26;2;1;4;3;21;27;96;135;83;309;01.06.2017 21:20;1;0;5;5;0;0;0,69;0
40;base;interview;01.06.2017 21:56;5;4;4;4,333333333;3;3;3;3;3;3;3;3;3;3;30;4;4;4;5;2;3;3,666666667;2;2;2;2;3;2;2;2,142857143;2;34;1;1;4;3;13;26;57;109;33;238;01.06.2017 22:00;1;0;5;5;0;0;1,03;3
41;base;interview;01.06.2017 22:18;5;4;5;4,666666667;3;2;2;3;3;2;2;2;3;2;24;5;5;5;6;6;4;5,166666667;3;3;3;4;4;4;3;3,428571429;2;19;2;1;4;3;1;22;80;118;18;239;01.06.2017 22:22;1;0;5;5;0;0;1,51;108
42;base;interview;02.06.2017 08:03;4;3;4;3,666666667;3;3;4;3;4;4;3;2;4;3;33;6;6;6;5;6;4;5,5;1;1;2;1;2;2;2;1,571428571;1;22;1;1;2;2;12;17;70;120;33;252;02.06.2017 08:07;1;0;5;5;0;0;1,08;6
43;base;interview;02.06.2017 08:28;5;4;5;4,666666667;3;3;3;2;2;3;3;3;2;2;26;4;4;4;3;3;3;3,5;2;2;2;2;2;2;2;2;2;18;1;1;2;2;12;23;56;88;24;203;02.06.2017 08:32;1;0;5;5;0;0;1,19;10
44;base;interview;02.06.2017 08:31;5;5;6;5,333333333;3;3;2;2;3;3;3;2;4;3;28;5;4;5;4;5;5;4,666666667;2;2;2;2;1;1;2;1,714285714;1;19;1;1;2;2;14;34;61;91;23;223;02.06.2017 08:35;1;0;5;5;0;0;1,07;6
45;base;interview;02.06.2017 08:34;4;3;4;3,666666667;3;3;3;3;3;4;3;2;3;3;30;5;5;5;6;5;6;5,333333333;4;4;3;5;3;3;2;3,428571429;2;19;2;1;2;2;91;36;62;99;18;229;02.06.2017 08:39;1;0;5;5;0;0;0,94;9
46;base;interview;02.06.2017 09:22;6;6;5;5,666666667;3;3;3;3;3;3;3;2;2;3;28;3;3;4;3;2;2;2,833333333;3;3;2;2;2;2;3;2,428571429;2;21;1;1;2;2;20;28;73;2009;22;255;02.06.2017 09:58;1;0;5;5;0;0;0,78;3
47;base;interview;02.06.2017 09:25;7;4;4;5;3;3;4;3;3;3;3;3;3;3;31;5;5;5;5;5;5;5;2;2;2;2;2;2;2;2;1;19;1;1;2;2;2;16;32;66;20;136;02.06.2017 09:27;1;0;5;5;0;0;1,97;88
48;base;interview;02.06.2017 20:08;4;3;4;3,666666667;3;3;2;3;3;3;3;3;3;3;29;3;4;4;3;4;4;3,666666667;3;3;3;3;3;3;3;3;2;50;3;4;4;2;22;22;70;210;52;376;02.06.2017 20:14;1;0;5;5;0;0;0,77;1
